รหัส,ที่มา,วันที่,โครงการ,ประเภท,ห้อง,ตรม.,ชั้น,เช่า,ขาย,ทำเล,สถานี,ต้นทาง,เจ้าของ,ที่โพสต์,เพจ,หมายเหตุ
PTP5995,ชีท,15/11/2025,The Oleander (เดอะ โอลีนเดอร์),คอนโด,2 Bed 2 Bath,122.4,11,"67,000",,"นานา, เพลินจิต, มักกะสัน","BTS เพลินจิต, BTS นานา, ARL มักกะสัน",https://www.livinginsider.com/istockdetail/DIoooI_CIyCDjI.html,,https://www.facebook.com/share/p/17mcregQbR/?mibextid=wwXIfr,https://www.facebook.com/share/p/1RFGvUeLTf/?mibextid=wwXIfr,
PTP5994,ชีท,15/11/2025,IDEO Mobi Rama 9 (ไอดีโอ โมบิ พระราม 9),คอนโด,1 Bed 1 Bath,44,27-28,"24,000","6,500,000","เพชรบุรีตัดใหม่, RCA, พระราม 9, มักกะสัน","MRT พระราม 9, ARL มักกะสัน, MRT เพชรบุรี",https://www.livinginsider.com/istockdetail/DIoooI_CIyCeby.html,,https://www.facebook.com/share/p/1BWmWyma1r/?mibextid=wwXIfr,https://www.facebook.com/share/p/1BWmWyma1r/?mibextid=wwXIfr,
PTP5993,ชีท,15/11/2025,The Editor Saphan Khwai (ดิ เอดิเตอร์ สะพานควาย),คอนโด,1 Bed 1 Bath,35,,"23,500",,สะพานควาย จตุจักร,"BTS สะพานควาย, MRT กำแพงเพชร, MRT จตุจักร",https://www.livinginsider.com/istockdetail/DIoooI_CIyogDe.html,,https://www.facebook.com/share/p/1ENd5Y4YEm/?mibextid=wwXIfr,https://www.facebook.com/share/p/1D6D31hhzj/?mibextid=wwXIfr,
PTP5992,ชีท,15/11/2025,Quintara Treehaus Sukhumvit 42 (ควินทารา ทรีเฮาส์ สุขุมวิท 42),คอนโด,1 Bed 1 Bath,32.1,3,"17,000",,"ทองหล่อ, อโศก, สุขุมวิท, เอกมัย, พระโขนง","BTS เอกมัย, BTS พระโขนง",https://www.livinginsider.com/istockdetail/DIoooI_CIyeooD.html,,https://www.facebook.com/share/p/1A1ZfzJBsG/?mibextid=wwXIfr,https://www.facebook.com/share/p/1DGKMeTipe/?mibextid=wwXIfr,
PTP5991,ชีท,15/11/2025,Pleno Sukhumvit-Bangna (ทาวน์โฮม พลีโน่ สุขุมวิท-บางนา),บ้าน,3 Bed 2 Bath,20.1,2,"22,000",,"บางนา, สุขุมวิท, แบริ่ง","BTS บางนา, BTS แบริ่ง, MRT ศรีเอี่ยม",https://www.facebook.com/share/16weyokiFC/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1Bi2p8s3x3/?mibextid=wwXIfr,https://www.facebook.com/share/p/16RTFkaBj3/?mibextid=wwXIfr,
PTP5990,ชีท,15/11/2025,The Base Park East Sukhumvit 77 (เดอะ เบส พาร์คอีสท์ สุขุมวิท 77),คอนโด,1 Bed 1 Bath,31.5,22,"17,000",,"อ่อนนุช, สุขุมวิท, พระโขนง, บางจาก","BTS อ่อนนุช, BTS พระโขนง, BTS บางจาก",https://www.facebook.com/share/p/15SU2BdmYCX/?mibextid=wwXIfr,,https://www.facebook.com/share/p/1GUkMv135p/?mibextid=wwXIfr,https://www.facebook.com/share/p/17cdPRwbnB/?mibextid=wwXIfr,
PTP5989,ชีท,15/11/2025,Atmos Ladprao 71 (แอทโมส ลาดพร้าว 71),คอนโด,2 Bed 1 Bath,46,8,"22,000",,ลาดพร้าว,"MRT ลาดพร้าว, BTS ห้าแยกลาดพร้าว",https://www.facebook.com/share/p/17JejJtZPt/,https://www.facebook.com/x.thiy.ceriy/,https://www.facebook.com/share/p/1BXdQfVhu6/?mibextid=wwXIfr,https://www.facebook.com/share/p/1AYvKWjkjy/?mibextid=wwXIfr,atmos ลาดพร้าว 71
PTP5988,ชีท,15/11/2025,Premium Place Phaholyothin - Ramintra  (พรีเมี่ยม เพลส พหลโยธิน - รามอินทรา),บ้าน,4 Bed 3 Bath,220,3,"35,000",,"นวมินทร์ รามอินทรา, เจริญนคร","BTS กรุงธนบุรี, BTS เจริญนคร",https://www.facebook.com/share/p/19xv8R6eT1/,https://www.facebook.com/jerdyy/,https://www.facebook.com/share/p/1BXdQfVhu6/?mibextid=wwXIfr,https://www.facebook.com/share/p/1CV1KgXkFY/?mibextid=wwXIfr,พรีเมี่ยมเพลส พหลโยธิน รามอินทรา
PTP5987,ชีท,15/11/2025,The Base Rama 9 - Ramkhamhaeng (เดอะ เบส พระราม 9 - รามคำแหง),คอนโด,1 Bed 1 Bath,30,33,"15,000",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, รามคำแหง",ARL รามคำแหง,https://www.facebook.com/share/p/1D6GicP8Xb/,https://www.facebook.com/oommooiii/,https://www.facebook.com/share/p/1AU1g3VKPm/?mibextid=wwXIfr,https://www.facebook.com/share/p/1K3xyw8emw/?mibextid=wwXIfr,
PTP5986,ชีท,15/11/2025,The Tree Sukhumvit 71 - Ekamai (เดอะ ทรี สุขุมวิท 71 - เอกมัย),คอนโด,1 Bed 1 Bath,30,20,"14,500",,"เพชรบุรีตัดใหม่, RCA, พระราม 9, รามคำแหง",ARL รามคำแหง,https://www.livinginsider.com/istockdetail/DIoooI_CyIbjCI.html,,https://www.facebook.com/share/p/1AvLMv1Ays/?mibextid=wwXIfr,https://www.facebook.com/share/p/17QZCHmyf7/?mibextid=wwXIfr,
